Year,Demand (in millions),Injector Type,Material Type,Volume Produced,Reusable,Recyclable,Usage Frequency,Efficacy rate,Carbon Footprint,Recyclable Type
2010,50,Pen,Type1 Plastic,857486,1,FALSE,'Monthly',0,1116094.639,Non-Recyclable
2026,121.6583663,Autoinjector,Type1 Plastic,33021.25986,0,FALSE,'Monthly',1,50200.87992,Non-Recyclable
2021,51.68013971,Autoinjector,Type1 Plastic,154941.8945,0,FALSE,'Weekly',1,246690.4165,Non-Recyclable
2017,79.0871843,Patch Injector,Recyclable Plastic,329044.1429,0,TRUE,'Monthly',1,281028.6066,Recyclable
2013,59.84535659,Patch Injector,Type2 Plastic,947986.0999,0,FALSE,'Weekly',1,1487449.414,Non-Recyclable
2012,52.13076554,Patch Injector,Recyclable Plastic,668011.3489,1,TRUE,'Monthly',1,499125.04,Recyclable
2013,61.88752904,Patch Injector,Recyclable Plastic,92623.8897,1,TRUE,'Weekly',1,58404.02022,Recyclable
2025,138.2518722,Patch Injector,Type1 Plastic,368212.6435,0,FALSE,'Monthly',0,540215.9845,Non-Recyclable
2013,65.66006162,Patch Injector,Type2 Plastic,798691.9004,0,FALSE,'Monthly',1,1043263.671,Non-Recyclable
2024,584.578988,Autoinjector,Type1 Plastic,1605312.157,0,FALSE,'Weekly',1,1934839.786,Non-Recyclable
2029,218.9026545,Patch Injector,Type2 Plastic,1043441.343,0,FALSE,'Daily',1,1614579.994,Non-Recyclable
2025,71.01670311,Autoinjector,Type1 Plastic,1779643.158,0,FALSE,'Monthly',1,2822151.866,Non-Recyclable
2011,56.91070204,Patch Injector,Type1 Plastic,273877.78,1,FALSE,'Monthly',1,368862.8204,Non-Recyclable
2022,68.16717836,Autoinjector,Recyclable Plastic,1297276.373,0,TRUE,'Monthly',1,1043804.373,Recyclable
2012,55.37868403,Pen,Type2 Plastic,184562.0532,1,FALSE,'Monthly',1,269925.9967,Non-Recyclable
2029,740.2747731,Patch Injector,Recyclable Plastic,265789.3484,0,TRUE,'Daily',1,182966.937,Recyclable
2026,200.6378896,Patch Injector,Recyclable Plastic,673325.8964,0,TRUE,'Monthly',1,473436.3262,Recyclable
2013,74.38154182,Patch Injector,Recyclable Plastic,856483.9765,0,TRUE,'Weekly',1,545716.7462,Recyclable
2028,50.2250798,Pen,Type1 Plastic,2031935.182,0,FALSE,'Monthly',0,3027677.69,Non-Recyclable
2021,50.49511287,Autoinjector,Recyclable Plastic,970243.7905,0,TRUE,'Monthly',0,761285.3169,Recyclable
2025,51.58519958,Patch Injector,Recyclable Plastic,1662649.529,0,TRUE,'Monthly',0,1262311.451,Recyclable
2012,63.08541509,Autoinjector,Recyclable Plastic,96955.43962,0,TRUE,'Monthly',0,69357.06434,Recyclable
2024,90.79274771,Autoinjector,Recyclable Plastic,650686.404,0,TRUE,'Monthly',1,547260.877,Recyclable
2022,161.7366646,Autoinjector,Type2 Plastic,200575.2888,0,FALSE,'Monthly',1,270702.6443,Non-Recyclable
2010,50,Autoinjector,Recyclable Plastic,253930,1,TRUE,'Daily',0,170177.5719,Recyclable
2029,672.562341,Patch Injector,Type2 Plastic,2003201.979,0,FALSE,'Daily',1,3103255.364,Non-Recyclable
2023,302.4281963,Autoinjector,Recyclable Plastic,930906.2547,0,TRUE,'Weekly',1,765260.2841,Recyclable
2030,125.5000637,Patch Injector,Type1 Plastic,1818743.486,0,FALSE,'Daily',1,2436198.41,Non-Recyclable
2013,69.85737755,Autoinjector,Type1 Plastic,959346.4086,1,FALSE,'Weekly',1,1472077.225,Non-Recyclable
2027,227.5287302,Pen,Type1 Plastic,2019202.626,0,FALSE,'Daily',1,3281448.187,Non-Recyclable
2025,85.92560351,Autoinjector,Type2 Plastic,953016.2921,0,FALSE,'Monthly',0,1232556.364,Non-Recyclable
2025,643.9871108,Autoinjector,Type1 Plastic,1594090.213,0,FALSE,'Weekly',1,2067070.59,Non-Recyclable
2018,114.5708769,Autoinjector,Type1 Plastic,1352006.696,0,FALSE,'Weekly',1,1990963.245,Non-Recyclable
2012,63.87814641,Patch Injector,Type2 Plastic,992018.4425,1,FALSE,'Daily',1,1513428.811,Non-Recyclable
2029,996.9155166,Patch Injector,Recyclable Plastic,1025183.86,0,TRUE,'Weekly',1,708445.8476,Recyclable
2022,319.7327178,Autoinjector,Type2 Plastic,213002.708,0,FALSE,'Monthly',1,286341.111,Non-Recyclable
2017,95.30395,Autoinjector,Recyclable Plastic,474863.2097,0,TRUE,'Monthly',1,302591.0678,Recyclable
2020,150.5880644,Pen,Type2 Plastic,1202998.445,1,FALSE,'Weekly',1,1640530.25,Non-Recyclable
2012,55.86813383,Patch Injector,Type1 Plastic,873322.9692,0,FALSE,'Monthly',1,1200202.966,Non-Recyclable
2020,132.7476505,Patch Injector,Recyclable Plastic,1345328.092,0,TRUE,'Daily',1,1022067.151,Recyclable
2022,171.957923,Pen,Type1 Plastic,282389.6968,0,FALSE,'Weekly',1,435444.877,Non-Recyclable
2016,115.8854094,Pen,Recyclable Plastic,61555.23158,0,TRUE,'Yearly',1,39889.51842,Recyclable
2014,76.09450216,Autoinjector,Recyclable Plastic,757455.6171,0,TRUE,'Monthly',1,493252.7361,Recyclable
2018,112.1901394,Autoinjector,Type2 Plastic,1353107.402,1,FALSE,'Yearly',1,1734790.048,Non-Recyclable
2010,50,Pen,Recyclable Plastic,930894,0,TRUE,'Monthly',1,653820.9155,Recyclable
2015,56.04937527,Autoinjector,Recyclable Plastic,1077595.953,0,TRUE,'Weekly',1,799481.4419,Recyclable
2011,59.34025093,Pen,Type2 Plastic,979543.29,0,FALSE,'Yearly',1,1429314.383,Non-Recyclable
2016,89.95623485,Autoinjector,Type2 Plastic,60258.1805,1,FALSE,'Monthly',0,79996.41808,Non-Recyclable
2028,99.38834287,Pen,Recyclable Plastic,1861018.802,0,TRUE,'Weekly',1,1358378.154,Recyclable
2016,56.21612945,Patch Injector,Type2 Plastic,649491.8192,0,FALSE,'Monthly',1,871091.4399,Non-Recyclable
2028,656.8163225,Pen,Type1 Plastic,756055.0378,0,FALSE,'Monthly',1,1069329.423,Non-Recyclable
2029,148.2421265,Pen,Type2 Plastic,1721199.912,0,FALSE,'Daily',1,2139070.733,Non-Recyclable
2025,91.26955462,Patch Injector,Type2 Plastic,1513243.789,0,FALSE,'Monthly',1,2246131.843,Non-Recyclable
2027,186.5125128,Patch Injector,Type2 Plastic,1346897.308,0,FALSE,'Monthly',1,2287468.477,Non-Recyclable
2018,201.6468931,Patch Injector,Type2 Plastic,161101.2458,0,FALSE,'Daily',1,203099.7224,Non-Recyclable
2012,56.0388691,Patch Injector,Recyclable Plastic,793274.2606,0,TRUE,'Monthly',1,605735.5827,Recyclable
2020,88.19691176,Autoinjector,Type2 Plastic,875102.9281,1,FALSE,'Weekly',1,1092351.635,Non-Recyclable
2020,79.32314767,Patch Injector,Type2 Plastic,1462760.534,0,FALSE,'Weekly',1,1942406.979,Non-Recyclable
2015,99.39540239,Patch Injector,Recyclable Plastic,13144.72708,0,TRUE,'Yearly',1,8035.837968,Recyclable
2018,93.67885238,Autoinjector,Type1 Plastic,1284161.12,0,FALSE,'Yearly',1,1936108.92,Non-Recyclable
2013,82.8197218,Patch Injector,Type1 Plastic,58060.25011,0,FALSE,'Monthly',0,90458.56864,Non-Recyclable
2025,714.3731803,Autoinjector,Recyclable Plastic,172592.3588,0,TRUE,'Weekly',1,118184.8234,Recyclable
2015,104.0935738,Patch Injector,Type1 Plastic,19692.16698,0,FALSE,'Monthly',1,31734.19413,Non-Recyclable
2020,52.71202586,Patch Injector,Recyclable Plastic,964361.3985,0,TRUE,'Yearly',0,656064.0496,Recyclable
2021,229.9049024,Pen,Recyclable Plastic,695715.4778,0,TRUE,'Daily',1,502981.8921,Recyclable
2029,983.0910615,Pen,Recyclable Plastic,138926.2671,0,TRUE,'Weekly',1,92857.16386,Recyclable
2017,53.33261383,Pen,Type2 Plastic,597415.6219,0,FALSE,'Weekly',1,829919.6742,Non-Recyclable
2010,50,Pen,Recyclable Plastic,414086,0,TRUE,'Daily',1,292431.9736,Recyclable
2029,429.1033718,Patch Injector,Type1 Plastic,1144352.535,0,FALSE,'Daily',1,1623895.245,Non-Recyclable
2016,88.43698381,Autoinjector,Type1 Plastic,866971.8646,0,FALSE,'Monthly',0,1213596.103,Non-Recyclable
2021,54.16744955,Patch Injector,Recyclable Plastic,1021204.622,0,TRUE,'Yearly',1,741779.5426,Recyclable
2020,67.17065392,Pen,Recyclable Plastic,608586.9748,0,TRUE,'Weekly',1,444904.8236,Recyclable
2029,91.87960945,Pen,Type2 Plastic,177363.6806,0,FALSE,'Weekly',1,236167.7776,Non-Recyclable
2012,57.38449677,Patch Injector,Recyclable Plastic,648721.8193,0,TRUE,'Monthly',1,397832.2098,Recyclable
2011,59.18723311,Patch Injector,Type2 Plastic,748072.655,0,FALSE,'Monthly',1,894499.2311,Non-Recyclable
2021,53.1902167,Pen,Type1 Plastic,101819.4229,0,FALSE,'Monthly',1,165723.8123,Non-Recyclable
2014,93.70393112,Patch Injector,Type2 Plastic,466082.7773,1,FALSE,'Yearly',0,739318.6639,Non-Recyclable
2011,59.91145306,Pen,Type2 Plastic,285335.16,1,FALSE,'Monthly',1,399139.609,Non-Recyclable
2029,154.7931613,Autoinjector,Type1 Plastic,748596.0333,0,FALSE,'Weekly',1,942140.8111,Non-Recyclable
2025,80.74958105,Patch Injector,Recyclable Plastic,1867139.213,0,TRUE,'Yearly',1,1233617.97,Recyclable
2014,63.47262535,Pen,Recyclable Plastic,924095.7813,0,TRUE,'Monthly',1,615628.3747,Recyclable
2025,177.2867434,Autoinjector,Type1 Plastic,1906487.376,0,FALSE,'Weekly',1,2511513.254,Non-Recyclable
2020,181.5122081,Patch Injector,Type1 Plastic,1305171.409,0,FALSE,'Weekly',1,2081471.268,Non-Recyclable
2016,54.28548584,Patch Injector,Recyclable Plastic,594992.233,0,TRUE,'Weekly',0,454329.1814,Recyclable
2022,255.7928066,Autoinjector,Type1 Plastic,67012.75482,0,FALSE,'Daily',0,98791.37215,Non-Recyclable
2013,59.30842404,Pen,Type2 Plastic,844021.3012,1,FALSE,'Yearly',1,1403530.189,Non-Recyclable
2022,421.4526379,Autoinjector,Type1 Plastic,1529334.005,0,FALSE,'Daily',1,2367751.319,Non-Recyclable
2030,565.4720878,Autoinjector,Type2 Plastic,1744744.864,0,FALSE,'Yearly',1,2384360.898,Non-Recyclable
2017,74.05346101,Autoinjector,Recyclable Plastic,266723.4753,0,TRUE,'Monthly',1,206955.8508,Recyclable
2016,117.9744161,Pen,Type2 Plastic,370594.5818,1,FALSE,'Daily',1,442027.6071,Non-Recyclable
2015,116.233034,Pen,Type2 Plastic,1197491.117,0,FALSE,'Monthly',1,1569467.686,Non-Recyclable
2026,159.2324091,Autoinjector,Recyclable Plastic,388252.5996,0,TRUE,'Monthly',1,256110.5058,Recyclable
2022,144.2125336,Autoinjector,Type2 Plastic,244111.957,0,FALSE,'Monthly',1,372003.6499,Non-Recyclable
2017,116.8310703,Autoinjector,Type2 Plastic,796776.4366,0,FALSE,'Daily',1,1039465.671,Non-Recyclable
2017,148.0518105,Patch Injector,Recyclable Plastic,1181892.169,0,TRUE,'Yearly',1,866268.7643,Recyclable
2013,63.02158049,Pen,Recyclable Plastic,585355.458,0,TRUE,'Daily',0,451962.52,Recyclable
2021,169.9680252,Autoinjector,Recyclable Plastic,1425196.036,0,TRUE,'Weekly',1,1025911.999,Recyclable
2028,445.6971822,Pen,Type2 Plastic,514591.0119,0,FALSE,'Daily',0,685120.5134,Non-Recyclable
2025,69.92106279,Pen,Recyclable Plastic,1052826.549,0,TRUE,'Monthly',1,725236.0366,Recyclable
2010,50,Patch Injector,Type2 Plastic,463812,0,FALSE,'Daily',1,620936.9608,Non-Recyclable
2016,114.2814506,Pen,Type2 Plastic,193556.2246,0,FALSE,'Daily',1,233239.4567,Non-Recyclable
2020,89.39690329,Autoinjector,Type2 Plastic,1366495.065,0,FALSE,'Monthly',0,2032950.451,Non-Recyclable
2019,146.0106481,Autoinjector,Recyclable Plastic,215751.2925,0,TRUE,'Weekly',1,169587.4339,Recyclable
2014,82.66942222,Patch Injector,Recyclable Plastic,239183.4557,1,TRUE,'Daily',1,202958.3142,Recyclable
2025,734.2389934,Autoinjector,Recyclable Plastic,1342904.099,0,TRUE,'Monthly',1,916470.0849,Recyclable
2010,50,Pen,Recyclable Plastic,991726,0,TRUE,'Yearly',1,748468.3078,Recyclable
2020,255.0320495,Patch Injector,Type2 Plastic,260521.4913,0,FALSE,'Monthly',0,379814.4084,Non-Recyclable
2010,50,Pen,Type1 Plastic,737428,0,FALSE,'Monthly',1,991280.3125,Non-Recyclable
2018,95.17867222,Autoinjector,Type2 Plastic,233334.0023,0,FALSE,'Weekly',1,294347.8239,Non-Recyclable
2017,66.95568158,Autoinjector,Recyclable Plastic,946582.8286,0,TRUE,'Daily',1,603358.6739,Recyclable
2019,57.36702034,Patch Injector,Recyclable Plastic,842239.9625,0,TRUE,'Weekly',0,537945.1702,Recyclable
2023,199.7846078,Pen,Type1 Plastic,165035.7616,0,FALSE,'Monthly',1,234042.3931,Non-Recyclable
2019,221.6753304,Patch Injector,Type2 Plastic,1309179.972,0,FALSE,'Monthly',1,1600552.906,Non-Recyclable
2011,54.94600901,Pen,Recyclable Plastic,995526.565,0,TRUE,'Monthly',1,783702.452,Recyclable
2011,59.58113441,Pen,Type2 Plastic,350698.865,0,FALSE,'Monthly',1,439445.1363,Non-Recyclable
2015,103.8332924,Patch Injector,Recyclable Plastic,137066.3051,0,TRUE,'Weekly',1,102069.5209,Recyclable
2027,675.2004739,Autoinjector,Recyclable Plastic,1054570.801,0,TRUE,'Monthly',1,760346.8725,Recyclable
2028,66.03498798,Autoinjector,Type1 Plastic,285390.6686,1,FALSE,'Monthly',1,414915.5605,Non-Recyclable
2027,1079.075889,Pen,Recyclable Plastic,669695.297,0,TRUE,'Weekly',1,481504.5747,Recyclable
2013,83.36002215,Patch Injector,Type1 Plastic,908012.1917,1,FALSE,'Weekly',0,1431551.002,Non-Recyclable
2025,119.1022079,Patch Injector,Type2 Plastic,1843097.199,1,FALSE,'Monthly',1,2521180.866,Non-Recyclable
2027,417.0789681,Patch Injector,Recyclable Plastic,601980.5907,1,TRUE,'Monthly',1,454138.1775,Recyclable
2018,54.88337719,Pen,Recyclable Plastic,567965.6533,0,TRUE,'Weekly',1,372357.8174,Recyclable
2015,64.90714874,Autoinjector,Type2 Plastic,1235399.972,0,FALSE,'Monthly',0,1755225.062,Non-Recyclable
2023,292.6504479,Autoinjector,Type1 Plastic,794259.3025,1,FALSE,'Monthly',1,1134239.4,Non-Recyclable
2026,824.699367,Pen,Type2 Plastic,301139.0053,0,FALSE,'Monthly',1,424527.0582,Non-Recyclable
2030,233.869193,Autoinjector,Recyclable Plastic,1151113.516,0,TRUE,'Daily',1,832442.9713,Recyclable
2018,53.11870958,Patch Injector,Type1 Plastic,37014.43475,0,FALSE,'Weekly',1,54273.44042,Non-Recyclable
2014,80.82771678,Autoinjector,Recyclable Plastic,169033.549,0,TRUE,'Monthly',1,117547.6614,Recyclable
2016,78.04184116,Pen,Type2 Plastic,1087621.611,0,FALSE,'Monthly',1,1517648.116,Non-Recyclable
2030,197.9125136,Autoinjector,Recyclable Plastic,2211792.579,0,TRUE,'Monthly',1,1419012.001,Recyclable
2018,154.876758,Patch Injector,Recyclable Plastic,844498.8058,1,TRUE,'Weekly',1,679440.1723,Recyclable
2022,51.94804417,Pen,Recyclable Plastic,301510.7599,0,TRUE,'Weekly',1,228551.2787,Recyclable
2018,108.1281029,Pen,Type1 Plastic,308638.496,0,FALSE,'Monthly',1,493069.3679,Non-Recyclable
2013,55.80298611,Autoinjector,Recyclable Plastic,451210.2388,0,TRUE,'Monthly',1,295876.139,Recyclable
2028,1223.616766,Patch Injector,Recyclable Plastic,1917701.618,0,TRUE,'Monthly',0,1532227.483,Recyclable
2021,354.3079741,Patch Injector,Recyclable Plastic,1268342.421,0,TRUE,'Daily',1,990079.4626,Recyclable
2015,89.40113778,Autoinjector,Type2 Plastic,962378.9555,0,FALSE,'Yearly',0,1319013.899,Non-Recyclable
2014,63.97916377,Patch Injector,Type2 Plastic,279248.5032,0,FALSE,'Monthly',1,402771.8848,Non-Recyclable
2013,78.33878731,Patch Injector,Type1 Plastic,850836.3453,0,FALSE,'Monthly',1,1149954.721,Non-Recyclable
2019,152.0813223,Patch Injector,Type1 Plastic,1201968.611,1,FALSE,'Daily',1,1584957.384,Non-Recyclable
2018,59.31839215,Pen,Type2 Plastic,805031.2475,0,FALSE,'Monthly',1,1116193.684,Non-Recyclable
2027,183.6359267,Pen,Recyclable Plastic,1274938.941,0,TRUE,'Monthly',1,889827.4752,Recyclable
2022,257.6974853,Autoinjector,Type2 Plastic,1565118.799,0,FALSE,'Weekly',1,2350666.982,Non-Recyclable
2010,50,Patch Injector,Type2 Plastic,418380,0,FALSE,'Monthly',1,607271.1331,Non-Recyclable
2016,140.0729951,Pen,Type1 Plastic,63371.88446,0,FALSE,'Daily',1,74532.06604,Non-Recyclable
2012,57.71187464,Patch Injector,Recyclable Plastic,946934.1904,0,TRUE,'Weekly',1,638654.8289,Recyclable
2015,70.7108743,Pen,Type2 Plastic,1195143.31,0,FALSE,'Monthly',1,1556627.062,Non-Recyclable
2021,355.8855068,Patch Injector,Type2 Plastic,1471080.583,0,FALSE,'Monthly',1,1996718.734,Non-Recyclable
2025,96.81355988,Pen,Recyclable Plastic,968831.4202,1,TRUE,'Daily',1,704529.1637,Recyclable
2028,743.0922433,Autoinjector,Recyclable Plastic,1449811.098,0,TRUE,'Daily',1,968069.4546,Recyclable
2018,96.91452066,Patch Injector,Type1 Plastic,434019.4186,0,FALSE,'Daily',1,661447.8772,Non-Recyclable
2021,66.44628591,Pen,Type2 Plastic,1539787.313,1,FALSE,'Monthly',1,1868270.069,Non-Recyclable
2016,148.3932084,Patch Injector,Recyclable Plastic,517044.1509,0,TRUE,'Weekly',1,369534.171,Recyclable
2024,275.2177341,Patch Injector,Recyclable Plastic,373250.2392,1,TRUE,'Monthly',1,251545.0019,Recyclable
2020,301.1905797,Pen,Type2 Plastic,85273.55095,1,FALSE,'Monthly',1,131116.4296,Non-Recyclable
2012,52.15557756,Autoinjector,Type1 Plastic,512627.1117,0,FALSE,'Monthly',0,684466.4763,Non-Recyclable
2016,122.3344376,Autoinjector,Recyclable Plastic,906987.7137,1,TRUE,'Monthly',1,719229.9926,Recyclable
2015,77.56088663,Patch Injector,Type1 Plastic,677020.7384,0,FALSE,'Daily',1,982252.6793,Non-Recyclable
2013,64.37056906,Patch Injector,Type2 Plastic,56568.74598,0,FALSE,'Weekly',1,86054.4813,Non-Recyclable
2013,80.44350997,Pen,Recyclable Plastic,901109.2778,0,TRUE,'Daily',0,657803.096,Recyclable
2026,336.9446634,Patch Injector,Type1 Plastic,1114940.755,0,FALSE,'Weekly',0,1472070.112,Non-Recyclable
2018,55.89904521,Patch Injector,Recyclable Plastic,1132408.763,0,TRUE,'Monthly',1,750617.2165,Recyclable
2021,68.30575576,Patch Injector,Recyclable Plastic,1273326.202,0,TRUE,'Monthly',1,815813.3452,Recyclable
2019,145.7864981,Autoinjector,Type1 Plastic,337013.6838,1,FALSE,'Monthly',1,436779.842,Non-Recyclable
2015,70.49713552,Pen,Recyclable Plastic,788552.7756,0,TRUE,'Yearly',1,553543.2847,Recyclable
2017,67.95590466,Patch Injector,Type1 Plastic,167992.9495,0,FALSE,'Monthly',1,235219.8493,Non-Recyclable
2022,209.6723885,Autoinjector,Recyclable Plastic,472136.7826,1,TRUE,'Daily',1,334618.6027,Recyclable
2018,52.2055419,Patch Injector,Recyclable Plastic,1061552.6,0,TRUE,'Weekly',1,702797.1081,Recyclable
2015,50.82438173,Pen,Type1 Plastic,156512.9743,0,FALSE,'Monthly',1,195296.6036,Non-Recyclable
2022,173.0003717,Autoinjector,Type1 Plastic,141277.0986,1,FALSE,'Monthly',1,196377.2979,Non-Recyclable
2029,310.5712539,Pen,Type1 Plastic,1494415.711,0,FALSE,'Monthly',1,1887135.534,Non-Recyclable
2029,55.14114795,Pen,Recyclable Plastic,1614274.436,0,TRUE,'Monthly',1,1174386.009,Recyclable
2018,90.19022124,Patch Injector,Type1 Plastic,424910.8642,0,FALSE,'Monthly',1,568165.394,Non-Recyclable
2024,97.72911362,Patch Injector,Type2 Plastic,1638889.77,0,FALSE,'Weekly',1,2096966.265,Non-Recyclable
2023,181.5966471,Autoinjector,Type2 Plastic,1225337.142,0,FALSE,'Monthly',1,1823973.199,Non-Recyclable
2016,65.19486347,Pen,Type1 Plastic,567505.4285,0,FALSE,'Daily',1,869216.0148,Non-Recyclable
2017,109.4398669,Autoinjector,Recyclable Plastic,919488.0695,0,TRUE,'Yearly',1,662146.7865,Recyclable
2018,90.62022744,Patch Injector,Type1 Plastic,825023.1379,0,FALSE,'Weekly',1,1081170.571,Non-Recyclable
2018,73.17240207,Autoinjector,Type1 Plastic,15368.64132,0,FALSE,'Monthly',1,20766.51762,Non-Recyclable
2022,148.8572667,Patch Injector,Type2 Plastic,1023327.078,0,FALSE,'Monthly',1,1450993.977,Non-Recyclable
2030,52.20960914,Autoinjector,Recyclable Plastic,651030.1424,0,TRUE,'Monthly',1,478711.2145,Recyclable
2017,137.0420449,Patch Injector,Recyclable Plastic,598689.3885,1,TRUE,'Yearly',1,418700.7323,Recyclable
2022,72.0241433,Patch Injector,Recyclable Plastic,1038418.727,0,TRUE,'Monthly',1,638330.6275,Recyclable
2027,421.916166,Patch Injector,Type1 Plastic,373962.0265,0,FALSE,'Monthly',1,526358.7149,Non-Recyclable
2023,109.0390771,Pen,Recyclable Plastic,103762.0815,0,TRUE,'Monthly',1,74406.48372,Recyclable
2021,330.6246285,Pen,Type1 Plastic,633209.6699,1,FALSE,'Monthly',1,802937.3747,Non-Recyclable
2027,62.98737478,Pen,Type2 Plastic,948248.9275,0,FALSE,'Weekly',1,1453638.35,Non-Recyclable
2029,396.5385416,Autoinjector,Type2 Plastic,1763016.033,0,FALSE,'Monthly',1,2492877.037,Non-Recyclable
2028,350.2861339,Patch Injector,Type2 Plastic,1453830.53,0,FALSE,'Monthly',0,2135118.496,Non-Recyclable
2030,319.9817938,Pen,Recyclable Plastic,2176755.198,1,TRUE,'Monthly',1,1301832.604,Recyclable
2021,124.2804,Pen,Type2 Plastic,902332.2591,0,FALSE,'Yearly',0,1249979.193,Non-Recyclable
2013,65.18101856,Patch Injector,Type1 Plastic,522359.6644,0,FALSE,'Monthly',1,664203.6434,Non-Recyclable
2016,141.9673345,Autoinjector,Type2 Plastic,333309.5722,0,FALSE,'Daily',1,524932.0561,Non-Recyclable
2018,102.7939194,Autoinjector,Type1 Plastic,1119154.786,0,FALSE,'Monthly',1,1788782.288,Non-Recyclable
2011,58.43498665,Pen,Type2 Plastic,264216.755,0,FALSE,'Monthly',1,339387.8214,Non-Recyclable
2012,55.41406032,Pen,Type2 Plastic,865649.3095,1,FALSE,'Weekly',1,1318585.016,Non-Recyclable
2020,106.8845777,Pen,Recyclable Plastic,414919.2642,1,TRUE,'Monthly',1,301665.0705,Recyclable
2018,65.22802072,Autoinjector,Type1 Plastic,799770.8974,0,FALSE,'Monthly',1,1144704.251,Non-Recyclable
2028,106.865921,Autoinjector,Recyclable Plastic,710898.2725,0,TRUE,'Daily',1,448002.7406,Recyclable
2016,109.8122627,Autoinjector,Recyclable Plastic,878281.9937,0,TRUE,'Weekly',1,625904.4253,Recyclable
2022,167.7209416,Autoinjector,Type2 Plastic,760726.6219,0,FALSE,'Yearly',1,1157278.809,Non-Recyclable
2024,206.7566974,Pen,Recyclable Plastic,1138810.935,1,TRUE,'Monthly',0,931880.4007,Recyclable
